week_index,week_start,week_end,metric_id,baseline_value,current_value,target_value,delta_pct,status,evidence_path,owner,notes
0,2026-03-02,2026-03-08,KPI-01,,,>=80,,,results/ci/coverage_week0.txt,Quality owner,Record baseline
0,2026-03-02,2026-03-08,KPI-02,,,<=3,,,results/ci/flaky_week0.json,Quality owner,Record baseline
0,2026-03-02,2026-03-08,KPI-03,,,>=95,,,results/release_gate/release_gate_report_week0.json,Governance owner,Record baseline
0,2026-03-02,2026-03-08,KPI-04,,,<24,,,results/metrics/lead_time_week0.csv,Product platform owner,Record baseline
0,2026-03-02,2026-03-08,KPI-05,,,>=99,,,results/parity/orbit_parity_week0.json,Physics platform owner,Record baseline
0,2026-03-02,2026-03-08,KPI-06,,,>=95,,,results/parity/protocol_parity_week0.json,Physics platform owner,Record baseline
0,2026-03-02,2026-03-08,KPI-07,,,0,,,results/signoff/uncertainty_budget_week0.json,Physics platform owner,Record baseline
0,2026-03-02,2026-03-08,KPI-08,,,>=95,,,results/pic_tapeout_gate/pic_tapeout_gate_report_week0.json,Quality/governance owner,Record baseline
0,2026-03-02,2026-03-08,KPI-09,,,<=4,,,results/release_gate/envelope_timing_week0.json,Governance owner,Record baseline
0,2026-03-02,2026-03-08,KPI-10,,,100,,,results/release_gate/signature_verify_week0.json,Security owner,Record baseline
0,2026-03-02,2026-03-08,KPI-11,,,30% faster vs baseline,,,results/perf/runtime_week0.json,Compute platform owner,Record baseline
0,2026-03-02,2026-03-08,KPI-12,,,25% higher vs baseline,,,results/perf/sweep_throughput_week0.json,Compute platform owner,Record baseline
1,2026-03-09,2026-03-15,KPI-01,,,,,,,Quality owner,Weekly update
1,2026-03-09,2026-03-15,KPI-02,,,,,,,Quality owner,Weekly update
1,2026-03-09,2026-03-15,KPI-03,,,,,,,Governance owner,Weekly update
1,2026-03-09,2026-03-15,KPI-04,,,,,,,Product platform owner,Weekly update
1,2026-03-09,2026-03-15,KPI-05,,,,,,,Physics platform owner,Weekly update
1,2026-03-09,2026-03-15,KPI-06,,,,,,,Physics platform owner,Weekly update
1,2026-03-09,2026-03-15,KPI-07,,,,,,,Physics platform owner,Weekly update
1,2026-03-09,2026-03-15,KPI-08,,,,,,,Quality/governance owner,Weekly update
1,2026-03-09,2026-03-15,KPI-09,,,,,,,Governance owner,Weekly update
1,2026-03-09,2026-03-15,KPI-10,,,,,,,Security owner,Weekly update
1,2026-03-09,2026-03-15,KPI-11,,,,,,,Compute platform owner,Weekly update
1,2026-03-09,2026-03-15,KPI-12,,,,,,,Compute platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-01,,,,,,,Quality owner,Weekly update
2,2026-03-16,2026-03-22,KPI-02,,,,,,,Quality owner,Weekly update
2,2026-03-16,2026-03-22,KPI-03,,,,,,,Governance owner,Weekly update
2,2026-03-16,2026-03-22,KPI-04,,,,,,,Product platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-05,,,,,,,Physics platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-06,,,,,,,Physics platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-07,,,,,,,Physics platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-08,,,,,,,Quality/governance owner,Weekly update
2,2026-03-16,2026-03-22,KPI-09,,,,,,,Governance owner,Weekly update
2,2026-03-16,2026-03-22,KPI-10,,,,,,,Security owner,Weekly update
2,2026-03-16,2026-03-22,KPI-11,,,,,,,Compute platform owner,Weekly update
2,2026-03-16,2026-03-22,KPI-12,,,,,,,Compute platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-01,,,,,,,Quality owner,Weekly update
3,2026-03-23,2026-03-29,KPI-02,,,,,,,Quality owner,Weekly update
3,2026-03-23,2026-03-29,KPI-03,,,,,,,Governance owner,Weekly update
3,2026-03-23,2026-03-29,KPI-04,,,,,,,Product platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-05,,,,,,,Physics platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-06,,,,,,,Physics platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-07,,,,,,,Physics platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-08,,,,,,,Quality/governance owner,Weekly update
3,2026-03-23,2026-03-29,KPI-09,,,,,,,Governance owner,Weekly update
3,2026-03-23,2026-03-29,KPI-10,,,,,,,Security owner,Weekly update
3,2026-03-23,2026-03-29,KPI-11,,,,,,,Compute platform owner,Weekly update
3,2026-03-23,2026-03-29,KPI-12,,,,,,,Compute platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-01,,,,,,,Quality owner,Weekly update
4,2026-03-30,2026-04-05,KPI-02,,,,,,,Quality owner,Weekly update
4,2026-03-30,2026-04-05,KPI-03,,,,,,,Governance owner,Weekly update
4,2026-03-30,2026-04-05,KPI-04,,,,,,,Product platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-05,,,,,,,Physics platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-06,,,,,,,Physics platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-07,,,,,,,Physics platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-08,,,,,,,Quality/governance owner,Weekly update
4,2026-03-30,2026-04-05,KPI-09,,,,,,,Governance owner,Weekly update
4,2026-03-30,2026-04-05,KPI-10,,,,,,,Security owner,Weekly update
4,2026-03-30,2026-04-05,KPI-11,,,,,,,Compute platform owner,Weekly update
4,2026-03-30,2026-04-05,KPI-12,,,,,,,Compute platform owner,Weekly update
5,2026-04-06,2026-04-12,KPI-01,,,,,,,Quality owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-02,,,,,,,Quality owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-03,,,,,,,Governance owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-04,,,,,,,Product platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-05,,,,,,,Physics platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-06,,,,,,,Physics platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-07,,,,,,,Physics platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-08,,,,,,,Quality/governance owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-09,,,,,,,Governance owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-10,,,,,,,Security owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-11,,,,,,,Compute platform owner,Week-6 final
5,2026-04-06,2026-04-12,KPI-12,,,,,,,Compute platform owner,Week-6 final
